"psych_var","state","rho","p","p_holm","sig_raw","sig"
"LPFS_Total","State 1",0.0672592709134549,0.835473461705726,1,"",""
"LPFS_Total","State 2",-0.229694885140571,0.472658331563038,1,"",""
"LPFS_Total","State 3",-0.0194697889486317,0.952110275149802,1,"",""
"MentS_Motivation","State 1",0.199308450353762,0.534581661616037,1,"",""
"MentS_Motivation","State 2",-0.181195444615693,0.573041564845929,1,"",""
"MentS_Motivation","State 3",0.131685940412307,0.683306180545378,1,"",""
"MentS_Others","State 1",-0.33694175799944,0.284177837744832,1,"",""
"MentS_Others","State 2",0.0284742588925344,0.930002325688059,1,"",""
"MentS_Others","State 3",0.265631333026013,0.404022099845781,1,"",""
"MentS_Self","State 1",0.24248737145114,0.447631405248376,1,"",""
"MentS_Self","State 2",-0.664348283175806,0.0184496933554231,0.553490800662692,"*",""
"MentS_Self","State 3",0.559313937069783,0.058658927184093,1,"",""
"PID_Anankastia","State 1",-0.0510566545378694,0.874788454185263,1,"",""
"PID_Anankastia","State 2",0.316348860980068,0.31644742581615,1,"",""
"PID_Anankastia","State 3",-0.503524248201057,0.0951361660447814,1,"",""
"PID_Antagonism","State 1",0.215937659248461,0.500273728690779,1,"",""
"PID_Antagonism","State 2",0.204958512894664,0.522814221730642,1,"",""
"PID_Antagonism","State 3",-0.380545874905074,0.222337947741002,1,"",""
"PID_Detachment","State 1",0.138305698823686,0.668171026153822,1,"",""
"PID_Detachment","State 2",-0.184084925221245,0.566833117072094,1,"",""
"PID_Detachment","State 3",0.0922037992157906,0.775644700053636,1,"",""
"PID_Disinhibition","State 1",0.0583053429577341,0.857162584234689,1,"",""
"PID_Disinhibition","State 2",0.32805508359001,0.297864973894151,1,"",""
"PID_Disinhibition","State 3",-0.372800829214603,0.232672957408082,1,"",""
"PID_NegAffect","State 1",-0.231340165589188,0.469403815703832,1,"",""
"PID_NegAffect","State 2",0.294886703982402,0.352125750580821,1,"",""
"PID_NegAffect","State 3",-0.0622838907355507,0.847513280048489,1,"",""
"SAPAS_Total","State 1",-0.0765587618704663,0.813058320510052,1,"",""
"SAPAS_Total","State 2",0.196520916033516,0.540428293359762,1,"",""
"SAPAS_Total","State 3",-0.229676285611399,0.472695182706008,1,"",""
